Description,folio
&amp; rouge.</ab>,002v
"de gueule</m>, qui est rouge en corps, bien<lb/>",003r
rouge ou verd ou bleud</head>,006r
bruniras estant sec. Et si tu y veulx poser du <m>rouge cler</m> &amp;,006r
"est rouge, ilz empoignent le bout chault avecq des <tl>pincettes à<lb/>",006v
<m>drap</m> rouge<lb/>,007r
faire des <m>grenats</m>. L’<m>orpiment</m> ainsy se rougist comme,009v
"rouge</m>, &amp; le fault broyer premierem<exp>ent</exp> à destrempe à",009v
<head><md>Pour oster la rougeur des <bp>yeulx</bp> ou la,011v
qu’avecq la <bp>bouche</bp>. Et touteffois la chose vint à <del>rougir,012v
"rougir deulx <tl>souldouers de <pro>vitrier</pro></tl>, &amp; comme ilz",013r
"estoient rouges,<lb/>",013r
"jusques au fonds rouge avecq une <tl>poincte de <m>diamant</m></tl>, et",013r
"rouge, ilz le<lb/>",016r
le fonds soict rouge. Et lors tu y mectras la susdicte charge de<lb/>,016v
"ficie, elles rougissent,<lb/>",017r
rouge transparent. Et mets dans une <tl>bouteille de <m>verre</m></tl>,029v
transparentes co<exp>mm</exp>e <del>ro</del> <m>esmail rouge cler</m>.,029v
"<m>cuivre rouge</m> en sa resideue, si tu distilles les susdictes<lb/>",031r
<m>rouges de mine</m> &amp; d’aultres qui ne sont pas belles à<lb/>,031v
"de trois couleurs, verte, rouge et quelques fois violette.<lb/>",032v
"il se faict un vert gay. Pour le rouge, ilz usent d’<m>alum</m><lb/>",032v
<ab>Ils n’ont poinct l’invention de faire un rouge parfaict en<lb/>,032v
"besoigne qu’il fault recuire. Toutesfois, essaye le <m><df>rouge<lb/>",032v
"d’<pl>Allemaigne</pl></df></m>, qui est rouge d’escaille. Ils font leur",032v
rouge<lb/>,032v
"&amp; un peu d’<m>escaille de fer</m>.<comment rid=""c_032v_01""/> Ledict rouge se charge d’un",032v
<m>calamine</m> est plus tost fondu que le <m>cuivre rouge</m>. Le,032v
"ilz le font d’<m>argent</m>, le rouge de <m>sanguine</m>",037v
