Description,folio
une <ms>once</ms> de <m>vermeillon broyé subtillem<exp>ent</exp></m>,003r
<m>Soufre</m> &amp; <m>vermeillon</m><lb/>,003r
mesle avecq le <m>vermeillon</m> de l’<m>esmail<lb/>,003r
<m>vermeillon</m> ou <m>laque</m><lb/>,013r
<head>Boutons de <m>vermeilles</m></head>,040r
"<ab>Pource que les <m>vermeilles</m> ne craignent point le foeu, on<lb/>",040r
apellent <m><pa><la>vermicularis</la></pa></m>. Et on tient pour asseuré,055r
"<comment rid=""c_057r_01""/>Le <m>vermillon</m> broyé de soy mesme est blaffart et palle, mays",057r
<head><m>Vermeillon</m></head>,064r
il pert sa couleur. Il est mieulx de choisir du <m>vermeillon</m><lb/>,064r
co<exp>mmun</exp>em<exp>ent</exp> le <m>vermeillon</m> se<lb/>,064r
"y meurt &amp; perd sa couleur, le <m>vermeillon</m>, <m>azur</m> aussy.</ab>",064r
"<ab hand=""handd"">Prenés de <m>vermilhon</m> et le faictes tremper avecq de",074v
"<ab hand=""handd"">Prens du <m>vermilhon</m> &amp; le fais tremper aveq de l’<m>eau",078r
Pains le dos de <m>vermeillon</m> meslé de <m>laque</m> &amp; les costés,141r
du ventre &amp; des jambes avecq du <m>vermeillon</m> &amp; de l’<m>ocre,141r
dos <del>meslé</del> de <m>vermeillon</m><lb/>,141v
"<m>vermeillon</m>, de <m>blanc<lb/>",141v
broyé</m> ou au <m>vermeillon</m>. Mays le premier,163v
