Description,folio
<head><m>Vernis</m> pour tableaulx</head>,003r
"au <m>vernis</m>, lequel se<lb/>",003r
On ne <m>vernist</m> pas<lb/>,003r
<head><m>Gros vernis</m> pour les planchers</head>,003r
<ab>Il y a du <m>vernis</m> qui est long à seicher &amp; degoute plus de,003r
poulsiere. Le <m>vernis de mastic</m> ne soubstient point la,003r
un peu le <m>vernis</m><lb/>,003v
<head>Pour vernir</head>,003v
<ab>Le <m>vernis de tourmentine</m> n’a que faire de <m>cole</m> pource,003v
de retailles</m> &amp; laisser seicher &amp; vernir.</ab>,003v
<head><m>Vernis d’huile d’aspic</m></head>,004r
que tu cognoistras en prenant un peu dudict <m>vernis</m> sur<lb/>,004r
"pour eviter la peyne de polir leur <m>hebene</m>, le vernissent de<lb/>",004r
souloit poinct vernir les païsages d’un tableau quand le<lb/>,004r
"<m>vernis de lin</m> estoict en usage, pour ce qu’il faisoict",004r
"le païsage. Mays avecq celuy de <m>tourmentine</m>, on vernist<lb/>",004r
"<ab>Si tu veulx vernir sur le <m>plastre</m> ou muraille, donne<lb/>",004r
&amp; quand tu y aurois mis ton <m>vernis</m> elle s’enleveroit.</ab>,004r
Le <m>vernis d’huile<lb/>,004r
<head>Pour oster le <m>vernis</m> d’un <lb/>,004r
<add>&amp; le vernir de nouveau</add></head>,004r
"tu verras que le vieulx <m>vernis</m> sera oste, jecte un",004r
estandre ton <m>vernis de tourmentine</m>.</ab>,004r
<head><m>Vernis noir</m> pour <wp>garde<lb/>,004v
"pour vernir, mects ton <m>fer</m> sur le foeu legier de",004v
<m>vernis</m>. Et<lb/>,004v
<m>vernis</m> est sec.</ab>,004v
Pour excellent <m>vernis<lb/>,004v
"<m>vernis</m>, il fault bien<lb/>",004v
d’<pa>ail</pa> pelées</m>. Ce <m>vernis</m><lb/>,004v
"<head><m>Vernis noir</m> sans foeu, sans<lb/>",004v
<ab>Prens <m>vernis d’huile d’<pa>aspic</pa></m> &amp; y mesle du,004v
Vernis avecq une <tl>broisse</tl> &amp; il sera bien tost sec.,004v
"<m>vernis de tourmentine</m> seroict bien bon, mays il ne seche pas si",004v
"<head><m>Vernis des <pro>graveurs<comment rid=""c_004v_02""/> sur le<lb/>",004v
"à la façon du <m>verni<corr>s</corr> noir</m> à foeu. Et pour l’apliquer,<lb/>",004v
"<m>vernis</m>,<lb/>",004v
"Mays si tu voulois promptement graver, vernisses tout",005r
<m>vernis de tourmentine ou d’<pa>aspic</pa></m> &amp; apliques sur,006r
"braye, aprés mesles y du <m>vernis de tourmentine &amp; non de<lb/>",006r
<m>vernis de tourmentine</m> &amp; l’aplique.,006r
"<m>verdet</m>, <m>azur d’esmail</m>, &amp; destrempés en <m>vernis de",007r
la <m>tourmentine claire</m> ou <m>vernis d’<pa>aspic</pa></m>. <add>Et,010r
<ab>Il n’y a rien mieulx que le vernis noir des <pro><oc>espasiers</oc></pro>,011v
"sur quoy tu veulx graver, car le poliment, qui est comme <m>vernis</m>",011v
vernis &amp; le rend<lb/>,012r
vernis ton ouvrage de <m>vernis blanc</m>. Quand tu moules aussi<lb/>,012r
vernis ton ouvrage de <m>vernis blanc</m>. Quand tu moules aussi<lb/>,012r
s’efface avecq du <m>vernis</m> &amp; du <m>sel</m> &amp; aultres,020r
"et estant sec, donne une main de <m>vernis d’<pa>aspic</pa></m> et de",029v
du <m>vernis de tourmentine</m>.<lb/>,029v
<head><m>Vernis</m> durant à l’<m>eau</m></head>,031r
"<ab>Le <m>vernis de <pl>Flandres</pl></m>, faict de <m>tourmentine</m>",031r
les <pl>Flamans</pl> les vernissent pource que elles ne se meurent<lb/>,032r
vernis</m> &amp; les<lb/>,042r
<head><m>Vernis blanc</m> sur le <m>plastre</m></head>,042v
"paindre. Aprés vernis de <m>vernis de <m>sandarache</m>, <m>huile<lb/>",042v
"paindre. Aprés vernis de <m>vernis de <m>sandarache</m>, <m>huile<lb/>",042v
"Dapoi datte un poco di <m>vernice</m>. Essendo secco, datte a secco",043r
"piu bello. Dapoi, si volete, datte <m>vernice</m> sopra</it>.<comment rid=""c_043r_01""/></ab>",043r
"medaille, puys <m>vernis</m>.<lb/>",043r
bouillir dans un <tl>pot de terre verny</tl> à grand foeu en,048v
"co<exp>mm</exp>e un <m>vernis</m>, &amp; est<lb/>",051v
<head><m>Vernis</m> pour <m>destrempe</m></head>,056r
"rouge, mays le <m>vernis</m> que tu y mettras, qui penetrera, fera<lb/>",056r
<m>vernis</m><lb/>,056r
"les choses à <m>destrempe</m>, et le <m>vernis de tourmentine</m>",056r
"tu sçais, pour les tableaux. Le <m>vernis pur d’<pa>aspic</pa></m>",056r
Le <m>vernis blanc de <m>tourmentine</m> ou d’<m>huille,057r
Le <m>vernis</m> est<lb/>,059r
est propre pour <m>vernis</m>. L’<m>huile</m> est assés desiccatif quand,060r
se deseche aussy tost que <m>vernis commun</m>. Les <m>huiles</m> ne se,060r
<head><m>Vernis</m> sec en une <ms><tmp>heure</tmp></ms></head>,060v
<m>vernis</m>.</ab>,060v
"<m>verre</m>, mays de <m>toile</m> oincte de <m>vernis clair de",061v
"puys vernis de <m>vernis de <pl>Flandres</pl></m>,<lb/>",066r
"puys vernis de <m>vernis de <pl>Flandres</pl></m>,<lb/>",066r
"cela soubstient le <m>vernis</m>, mays cela n’est pas de durée.</ab>",066r
Le <m>vernis</m> sera<lb/>,066r
"ceste part, qui feroit mourir les couleurs. Le <m>vernis</m><lb/>",066r
"l’<m>or</m>, puys vernissent le tout par dessus. Et semble par ce moyen",066r
on vernit.</ab>,066r
un peu de <m>vernis</m><lb/>,066v
<m>vernis</m>.</ab>,067r
<head><m>Vernis</m> sur <m>papier</m></head>,067r
<m>papier</m> painct &amp; le vernissent<lb/>,067r
du tout si espés que pour vernir. Et ainsy tu pourras<lb/>,067v
Le <m>vernis de tourmentine</m> faict avecq de ceste <m>huile</m>,067v
<env>pier<del>reries</del>rieres</env> ou <env>cavernes<lb/>,069r
"on le vernist.<comment rid=""c_069r_04""/></ab>",071r
<head><m>Vernis</m></head>,071v
