Description,folio
"<tmp>overnight</tmp>, and <tmp>during the winter</tmp> as well as",003r
"<tmp>overnight</tmp>, and <tmp>during the winter</tmp> as well as",003r
of <m>fine turpentine oil</m> &amp; do everything as with the other one. This one,003v
"whether fine or crude</m>. One needs to give, as you know, a little",003v
<ab>One needs to heat <m>lavender spike oil</m> &amp; as it begins to,004r
"their <m>ebony</m>, varnish it with this, as do <pro><mu>guitar</mu> makers</pro>.",004r
"This is not as appropriate for panels as that of <m>fine turpentine</m>,",004r
"This is not as appropriate for panels as that of <m>fine turpentine</m>,",004r
<m>Varnish of spike lavender oil</m> is not as appropriate for colors as,004r
<m>Varnish of spike lavender oil</m> is not as appropriate for colors as,004r
<m>ashes</m> &amp; <m>soap</m> &amp; rub the panel with them. And as you,004r
as soon.</ab>,004v
<m>verdigris</m> &amp; mix as much of one as of the other in <m>quite,004v
<m>verdigris</m> &amp; mix as much of one as of the other in <m>quite,004v
beard</bp> as thick as</ab>,005r
beard</bp> as thick as</ab>,005r
"<ab>string &amp; will represent a <bp>nipple</bp> as large as a plate, and",005v
"<ab>string &amp; will represent a <bp>nipple</bp> as large as a plate, and",005v
"better it will be. Make a hole at the lower one, as wide as your <ms><bp>little",005v
"better it will be. Make a hole at the lower one, as wide as your <ms><bp>little",005v
Pierce the <tl>sheet</tl> in the same place as the hole &amp; the same,005v
"<m>sanguine</m>, as much of one as of the other, also <m><al>lamb",006r
"<m>sanguine</m>, as much of one as of the other, also <m><al>lamb",006r
"little <m><pa>willow</pa> charcoal</m>, or as much as the",006r
"little <m><pa>willow</pa> charcoal</m>, or as much as the",006r
also be drawn as long as you want in a <tl>small furnace</tl> made like,006v
also be drawn as long as you want in a <tl>small furnace</tl> made like,006v
"<tl>cannules</tl> for capes, which are cut, as said, with a",006v
"stamping either in <m>tin</m>, as is said,<comment rid=""c_007r_01""/> or",007r
"to put a layer of <m>glue</m> there as on <m>wood</m>, but take only",007r
"<del><ill/></del>, at discretion, as much of one as of the other.",007r
"<del><ill/></del>, at discretion, as much of one as of the other.",007r
"carries its <m>mastic</m> or <m>glue</m> in itself, as do",007r
<ab>Take <m>touchstone</m> &amp; <m>pumice stone</m> as much of one as,007v
<ab>Take <m>touchstone</m> &amp; <m>pumice stone</m> as much of one as,007v
<ab>Put among the <m>powder</m> <del><ms>six times as much</ms> of,008r
"<ab>Heat the <m>lead</m> ball as much as you can without melting it, and",008r
"<ab>Heat the <m>lead</m> ball as much as you can without melting it, and",008r
"finely, mix all together &amp; use it as <m>wadding</m>, and by a little force",008r
"<ab>Having made a hole in the <env>wall</env> as you know, put a",008r
"which should be as if lying down, &amp; the other upright, then plug the",008r
with <m>gum water</m>. As for <m>silver</m> one needs to take it as,008v
with <m>gum water</m>. As for <m>silver</m> one needs to take it as,008v
having taken it out as you know. The <m>☾</m> will have a,008v
"cut, one needs to plow the earth because the root eats it &amp; makes it lean as",009r
much as if the <pa>millet</pa> was still standing. The ground,009r
sublimate <m>orpiment</m> in a long-necked <tl>matrass</tl> as for,009v
"per <fr>canne</fr></ms>, as appears in the waste book at c.<comment rid=""c_009v_06""/> 25</ab>",009v
"for the merchandise taken by himself, as specified in detail in the",009v
"<m>parchment</m>, very clear &amp; delicate &amp; dyed &amp; employed as you",010r
&amp; layering it thickly as if one were putting it down with a,011r
"<m><df>rock water</df></m>, as they call it; it is a",011r
&amp; the <m>silver</m> will touch as on a,011v
"<ab>The <m><df><fr>terre chimolée</fr></df></m>, otherwise known as",012r
"clean, as of <m>sulfur</m> or <m>cooked <fr>chimolée</fr></m>, it is made",012r
"Also, when you are molding with <m>paper</m>, as it starts to dry,",012r
"closed fire, such as a <tl>reverberatory furnace</tl> or <tl><pro>barbers'</pro>",012r
<del><fr>st</fr></del> &amp; other bizarre things can be formed. As for,012v
"where I found it as hard as before, &amp; uncovering the white",012v
"where I found it as hard as before, &amp; uncovering the white",012v
"solders</tl>, &amp; as they were red, I",013r
"had the white crust that I required, on which I made such drawing as I",013r
"in <m>alabaster</m>, which is very cold, as I encased it in the",013r
"sold as <m>stone</m>, when ground on <tl><m>marble</m></tl>, mixed with",013r
"variegated &amp; as if striped with a pale one &amp; a darker one, but if it is",013v
"the figure of the <al>toad</al> painted naturally, as you have seen, is",013v
"form clumps when plowed, but which is as if intermixed with",014r
thus place &amp; arrange it. This one lasts longer and there is not as much,014r
"as if <mark>S.S.S</mark><comment rid=""c_014r_05""/> with <m>branches of <pa>heather</pa></m> or",014r
"the last time, as shown in .C.<comment rid=""c_014r_03""/> Then one makes another layer of",014r
<m>earth</m> <add>&amp; <m><pa>heather</pa></m></add> and beats it as,014r
"<m>dyed</m> yellow, pounce onto it such a pattern as will please you.",015r
"One casts large works such as <wp>artillery</wp>, bells &amp; similar things in",015r
