Description,folio
<ab>Good <m><al>dragon</al>’s blood</m> soaked in <m>eau-de-vie</m>,007r
<head><m><al>Dragon</al>’s blood</m></head>,029v
The <m>darker <al>dragon</al>’s blood</m><lb/>,029v
<ab>The <m>good kind of <al>dragon</al>’s blood</m> can be found in,029v
the <m><al>dragon</al>’s blood</m>.</ab>,029v
"<m><al>dragon</al>’s blood</m>, and apply it <del>of the</del> to",038v
<m><al>dragon</al>’s blood</m> tempered with <m>eau-de-vie</m>,040v
"passed very subtly, &amp; make like that of <m>mastic</m>, &amp; add in a little <m><al>dragon</al>’s blood</m> to",098r
or with <m><al>dragon</al>’s blood</m> for the most beauty. But,102v
<head><m><al>Dragon</al>’s blood</m></head>,165r
"<ab>It can be imitated with <m>lake</m>, which surpasses the dragon's blood in beauty if, tempered in <m>oil</m>, you glaze on <m>gold</m> or",165r
