Description,folio
"<ab><m><pa>Prunes</pa> of <pl>Saint Antonin</pl></m>, &amp; if you like",001v
"&amp; until it appears not to be thick, but clear &amp; liquid like",003r
It is made like <m>cement</m> that is stronger mixed with <m><tl>pestled</tl>,003r
planks. But this one does not drip like that of <tmp>times,003r
rendered greenish the blue color of paintings. This one is made like the,003r
is fatty &amp; viscous &amp; it is not absorbed in the <m>wood</m> like that,003v
"round, concave, convex &amp; however one likes, to represent various",005r
"all at once from the fire &amp; grind it, and it will be like",005v
"your <m>wooden</m> candlesticks &amp; any other work you like,",005v
<env>in the rain</env> like <m>gilded lead work</m> &amp; similar things.,006r
also be drawn as long as you want in a <tl>small furnace</tl> made like,006v
"it in tablet form like <m>lead</m>, or put it through a",006v
"<m>cloth</m></m>, &amp; it will be beautiful like fine <m>gold</m>. You can",007r
"whatever you like. Once dry, rub this layer with any <m>metal</m>",007v
<ab>It is not polished with <tl><m>tripoli</m></tl> <del>but</del> like the,008v
"<tl><m>tin</m> wheel</tl> is for more tender <m>stones</m> like <m>emerald</m>,",008v
"substance becomes like paste &amp; even harder. Next, if you want, eat",008v
making <m>garnets</m>. The <m>orpiment</m> thus turns red like <m>red,009v
&amp; fatty polish like <m>jasper</m>.</ab>,010r
"who make it in <pl>Germany</pl> compound it like <m>enamel</m>, in large",011r
"polish, which is like <m>varnish</m> on <m>glass</m>, prevents the",011v
"let it melt well until it becomes liquid, like <m>oil</m>, mix it with",012r
well &amp; become smooth like <del><ill/></del> <m>water</m>. The,012r
"&amp; thus melted, cast like the others on a <tl>relief medal</tl>,",012v
like <m><al>horse</al>hair</m>.</ab></div>,013v
"<el>ΟΦΗ ΟΦΗ</el>,<comment rid=""c_013v_02""/> it will flee. Likewise, if one <del><fr>nom</fr></del>",013v
"<tl>mallet</tl>, which has a triangular form like A, and with this, one",014r
"like <m><pro>founders'</pro> sand</m>, the <m>gold</m> and <m>silver</m>",015r
"<m>sandalwood</m>, <m>ivory</m>, or <m>gold</m> and <m>silver</m> like",015v
"equally everywhere &amp; above, like the flame in a <tl>reverberatory",016r
"to the <m>silk</m> like <m>fine <pa>cotton</pa><comment rid=""c_016v_03""/> wisps</m>.</ab>",016v
"<ms><pro>King</pro>’s caliber</ms> like the others, namely of",017r
similar things. It is thirteen or xiiii <ms><fr>pans</fr></ms> long like,018r
"two in front</ms>. Its ball is like that of the <wp><fr>bastarde</fr> piece</wp>,",018r
"xxviii <ms><fr>pan</fr></ms>s long, like the Cow of <pl>La",018r
&amp; <ms>a half league</ms> at point-blank. Its charge is like the,018r
skin</m> which is more mitten-like than any other. And then one would,019v
like the <m>dough to make fritters</m>. And you will put in <m>egg,020r
"Then you will put in some <m><pa>saffron</pa></m>, if you like, to give",020r
"<tl>lids</tl> which will be made like the <tl>molds</tl>, but it is",020r
"to soak like this, then apply it.",020v
"quadruple or more, you need only place a similar row of boards like the",022v
are made of one piece like a solid square have <wp>cannons</wp> only,022v
<ms><bp>finger</bp></ms></add> which should have their point like a,023r
"a <tl>screw</tl>, like an <tl>auger</tl></add>, &amp; a ring on the",023r
"such a way that it is like a gut through <del><fr>l</fr></del>which<comment rid=""c_023r_02""/> a",023r
like <del>a half ball</del> a <ms>half</ms> of a cut ball. It is also,023v
during firing like the others very quickly will be. But these screws,024v
like a bedpost &amp; there ought to be sixteen channels or notches in,025v
"<del>one</del> like 4 or 5 <ms>lb</ms>, one only puts six of",028v
"its <m>water</m>, it is swollen &amp; rendered like <m>jelly</m>. Then",029r
"With this you will mold whatever work you like, masks or garlands, which",029r
"<m>strong glue</m> or <m>paste glue</m>, as you like, and you will be",029r
"it like this: temper it, when it is powdered <del>strong</del>, in a",029r
"round or flat things, as you like. It is to make an ornament at little",029r
is the best &amp; has more of a tint; it is the tear that is found in <del><fr>gr</fr></del> pieces like,029v
<m><pa>peas</pa></m> and large <m><pa>hazelnuts</pa></m> which look like,029v
"good, otherwise it will become like <m>wine lees</m>. When you want to use",029v
large pieces like pieces of cake <add>this one has no value and is,029v
also lumpy in some parts like small <m>rubies</m>. The <m>eau-de-vie</m> needs to be very ardent &amp;,029v
"burnished like a mirror. Moreover, they repair the work for the second",030v
<ab>One does not paint them with a <tl>paintbrush</tl> like other,031r
<ab>The high plates of the pauldron of the <fr>brassard</fr> are like a,032r
wicker</m></tl> and cut from it a small piece <ms>like a,033r
"the hem of a <tl>shirt of <m>rough cloth</m></tl>, like that of a",034r
"into which <add>will</add> easily fit another <tl>small box</tl>, like that which",034v
"you like, promptly &amp; without stopping, show the bottom which will be",035v
"<bp>fingers</bp></ms>, sewn like the finger of a glove &amp; <ms>large",036r
"<m>grease</m>, however little, the color will not take on it at all. And likewise, if the",037v
"half-dried, &amp; twisted like a thread</m>, &amp; put <env>in the",038r
"<m>dung</m> to turn it green, like <m>bones</m>. Or <m>smoke</m> it",038r
"...esembles <m>marble stone</m> and is a very hard mineral with large pieces, like that of <pl>Cardona</pl> &amp; <pl>Monserrat</pl>.</ab>",038r
"is very appropriate, for it is not undone in the rain like earth.</ab>",038v
mold-like veins which are as if golden or silver. One assays it in the,039r
with a <tl>stick</tl> <del>you</del> even &amp; round like a,042r
"<pa>fig tree</pa></m>, which will immediately make it clear up like",042v
"will make <del><fr>e</fr></del><comment rid=""c_070r_03""/> <m>wine</m> as claret colored as you like. If you",043v
"broad leaf like small <pa>bugloss</pa>, which has a violet flower",044r
"verging on blue &amp; is shaped like the <pa>lily flower</pa></m>, makes",044r
like sleeping</md>.</ab></div>,044v
"it what he would like on shoes, boots, and <fr>colets</fr>.<comment rid=""c_046v_02""/> And he will obtain a",046v
"<m>gold</m> without repair, but it needs to be ablaze and red like the",047v
"casting, which has a shine like a mirror. <m>Sandiver</m> lightens them.",048v
thickness &amp; dense nature &amp; render them <del>like</del> liquid,048v
"like <m>water</m>, render them proper for casting, for it is the",048v
whiter and seems to be burnished like a mirror.</ab>,048v
And when you will see it become quite even <del>like</del> &amp; shiny,048v
"thicker. There are two kinds of <m>tin</m>, one of them nearly like",049r
"this country, they go <corr><del>t</del></corr> away like <al>turtledoves</al> do. <al>Siskins</al>",049v
"is not quite warm, for one needs the <m>water</m> to be like <m>river",050r
August</tmp>. <al>Goldfinches</al> like <pa>lettuce</pa> seeds very,050v
workers</pro> commonly use is not refined like that from,050v
&amp; use it like the other <m>steel</m>. And because <corr><del>that</del></corr> it comes from,050v
excellent as <m>purified steel</m> like that from <pl>Germany</pl> &amp;,050v
boiling &amp; becomes like a <m>varnish</m> &amp; is in danger of,051v
<tmp>months</tmp> or seven <tmp>weeks</tmp> &amp; will become like a,052r
