Description,folio
<head><md>For loosening the <bp>belly</bp></md></head>,001v
little <m><pa>cinnamon</pa></m> <md>for the <bp>stomach</bp></md>.</ab>,001v
broth</m>. The fresh kind is more <md>mollifying</md>.</ab>,001v
taking it <tmp>in the morning</tmp> <md>loosens the <bp>belly</bp></md>.</ab>,001v
<head><md>Against pains</md></head>,002r
<head><md>Against windy colic</md></head>,007v
<md>against the suffocation of the <bp>matrix</bp></md>.</ab>,007v
"G.</md><comment rid=""c_007v_01""/></head>",007v
"<head><md>Against gonorrhea</md><comment rid=""c_007v_02""/></head>",007v
"&amp; de colatura utatur per <md>injectionem</md>.</la><comment rid=""c_007v_03""/></ab>",007v
<head><md>For getting rid of the redness of <bp>eyes</bp> or bruising</md></head>,011v
<head><md><m>Toadstone</m></md></head>,013v
"will be neither able to move, nor speak, nor thwart <pro>thieves</pro></md>.",013v
"<ab>When some <md>defluxion</md><comment rid=""c_015v_01""/> occurs there, one needs",015v
"<bp>ear</bp> &amp; the <bp>eye</bp> with the <bp>elbow</bp></md>. However, it",015v
"to say, kept in <m>musk</m>, for it <md>comforts quite well</md>.</ab>",015v
<head><md><bp>Tooth</bp>ache</md></head>,015v
"<head><md>Against Go.<comment rid=""c_016v_01""/></md></head>",016v
this <m>mucilaginous water</m> make an <md>injection</md>.</ab>,016v
<head><md>For removing fine hair from the <bp>forehead</bp></md></head>,016v
"<head><md>Clysters</md><comment rid=""c_019v_01""/></head>",019v
<head><md>For whitening the <bp>face</bp></md></head>,020v
"<head><md>Against <bp>winds</bp>, colic, &amp;c</md></head>",020v
<pa>orange</pa> peel</m> is excellent <md>against the windy colic</md>.,020v
"<bp>belly</bp></bp></md>. And to make a trial of it, having poured <m>foaming",020v
<head><md>Against burn</md></head>,020v
<head><md>A form of regimen</md></head>,020v
"<md>nourishing</md>, it <md>makes a good <bp>stomach</bp></md>.",020v
"<md>nourishing</md>, it <md>makes a good <bp>stomach</bp></md>.",020v
"<tl><oc>crucible</oc></tl>, when one wants to cast them; this worsens the <md>wounds</md>.",021v
the <md><bp>wounds</bp></md> will be all the worse for it. The <m>best <wp>arquebus</wp>,024r
<add>which heats it and unstops the <bp>liver</bp></add></md></head>,037r
<md>dissipates the phlegm &amp; the winds which arise from it</md>. You can take,037r
the <bp>stomach</bp> without heating the <bp>liver</bp></md>.</ab>,037r
<head>Against <md><bp>nosebleed</bp></md> and for <m>dyeing</m></head>,038v
the <md><bp>forehead</bp> of the one who bleeds</md>. This herb is a strong,038v
<head>Excellent <md><m>water</m> against the plague</md> of <pn>Monsieur de,044v
<head><md><m>White soporific oil</m></md></head>,044v
like sleeping</md>.</ab></div>,044v
"<head><md>For the <bp>teeth</bp></md>, <m>oil of sulfur</m></head>",046r
<ab>Some people <md>whiten</md> them with confections of,046r
afterward &amp; causes a blackness on them</md>. One says that <m>oil of,046r
"<md>penetrates &amp; is corrosive</md>, <del>and <fr>l</fr></del> but the",046r
born.</md></ab>,046r
<head><md>Against the falling sickness</md></head>,046r
return</md>.</ab>,046r
"<head><md>Against cold gouts</md><comment rid=""c_046r_01""/></head>",046r
<head><md>For <bp>teeth</bp></md></head>,047r
"away</md>. It is true that it has a <sn>bad odor</sn>, but you can mix it",047r
<head><md>Against falling sickness or vertigo</md></head>,047r
<head><md>Against diarrhea</md> and <md>dysentery</md></head>,047r
<head><md>Against diarrhea</md> and <md>dysentery</md></head>,047r
"<ab><md>Against diarrhea</md>, it is very good to use <m>preserve of",047r
"if it is <md>against dysentery</md>, you can rub with it the <bp>temples</bp>,",047r
<head><md>Curing <al>dogs</al> of mange</md></head>,048r
"turn their <bp>back</bp> for fear of the <md>fumes</md>, and continue thus until",048v
dangerous</md>. And for the occasion when you,052v
difficult</md></head>,055r
<head><md>Against wounds</md></head>,055r
will not die</md>.</ab></div>,055r
"<head><it><md>Onenev elbirro</md></it><comment rid=""c_055r_03""/> <md>hcihw sllik fi",055r
"eno spets no a draob ro a <del><fr>ueirse</fr></del> purrits</md><comment rid=""c_055r_06""/>",055r
"<bp>cheeks</bp></md>, grind <m><pl>Florence</pl> lake</m> very finely, then",058r
"<add><del><fr>d</fr></del> or to diminish overly large ones</add></md><comment rid=""c_066v_03""/></head>",066v
"<md>softens</md> &amp; <md>makes one sweat</md>, to put on <tl>linen cloths soaked with <m>water",066v
"<md>softens</md> &amp; <md>makes one sweat</md>, to put on <tl>linen cloths soaked with <m>water",066v
<head><md>Against bruising of the <bp>eyes</bp></md></head>,066v
"<head><comment rid=""c_077r_02""/><md>Against redness of the <bp>face</bp></md></head>",077r
maladies</md></head>,077r
out by your <bp>nose</bp>. But if you want to <md>purge the <bp>head</bp></md>,077r
"also pinch the <bp>nose</bp>. <md>Against colds</md>, <md>rheums</md>, and <md>other",077r
"also pinch the <bp>nose</bp>. <md>Against colds</md>, <md>rheums</md>, and <md>other",077r
maladies</md>.</ab>,077r
<head>For making <md><m>water for disease of the <bp>eyes</bp></m></md></head>,079r
"&amp; with the help of <pn>God</pn>,<comment rid=""c_079r_02""/> <md>you will find yourself very well from it</md>.</ab>",079r
for they are bad</md>.</ab></div>,079v
"<head><comment rid=""c_079v_02""/><md>Antidote against the fumes of metals</md></head>",079v
harm you</md>. Or put <ms>half</ms> a <m><al>pig</al>’s bladder</m> in front,079v
for the <md>humor</md> grows them quickly. Otherwise,093r
<del><fr>au</fr></del> they dry before the <md>humor</md> of,093r
your <bp>head</bp></md> like that of <m><pa>spike lavender</pa></m>.</ab>,097v
<md><m>medicinal gums</m></md> dissolve in <m>vinegar</m>.</ab>,101v
"<pro>elderly</pro></md>. <pn>Paul III</pn><comment rid=""c_102v_03""/> used it.</ab>",102v
"<head><md>Against burns</md>, excellent</head>",103r
"<del><fr>a</fr></del><comment rid=""c_065v_05""/> your <bp>flesh</bp> to grow excessively</md>. You",103r
This <md>causes <bp>hair</bp> to regrow</md> &amp; <md>leaves no scar</md>. A,103r
This <md>causes <bp>hair</bp> to regrow</md> &amp; <md>leaves no scar</md>. A,103r
<head><md>Against <al>dogs</al>’ mange</md></head>,103r
<head><md>Enema</md></head>,103v
"<bp>veins</bp></md>, one covers the end of the <tl>tube</tl> with a piece of",103v
"in this way, one gives the <md>enema</md>.</ab>",103v
"those who have a <md><bp>headache</bp></md>, all the <m>foam</m> will dissipate.</ab>",103v
<head><md>Against <al>dogs’</al> mange</md></head>,104v
"too violent. Always stir with a long <tl>stick</tl> to <md>avoid the vapor</md>,",106v
powerful <md>remedy</md> for this is to put your <bp>hand</bp> <env>into,109v
"applied fresh <del><fr>en</fr></del> on the <md>infected part</md>,",110r
"<ab render=""wide"">It is excellent <md>plastered</md> on wounds to stop the",120v
"<md>antidote</md> against its bite, take a little branch, as best",122r
dangerous</md>. If within xii<lb/>,123r
"hurt you</md>. And before working at it, take in the",123v
"away from the fumes, for they are pernicious</md>. I wanted to use",136v
which will demonstrate <md>poison</md>.</ab></div>,149r
"for a <tmp>long time</tmp> without spoiling.<comment rid=""c_165v_03""/> If you have a <md>cut on your hand,</md>",165v
<md>take care that this mixture does not touch it</md>.</ab>,165v
<head><md>Against plague</md></head>,170v
"<ab>Take, <md>against pestilential fever</md> or <md>poison</md> or <md>plague</md>, an",170v
"<ab>Take, <md>against pestilential fever</md> or <md>poison</md> or <md>plague</md>, an",170v
"<ab>Take, <md>against pestilential fever</md> or <md>poison</md> or <md>plague</md>, an",170v
<head><md>For preserving</md></head>,170v
"This is <md>to preserve oneself when one goes into infected air</md>.<comment rid=""c_170v_17""/> a",170v
"garment can be thus perfumed &amp; <md>removing <add>its</add> infection</md>,",170v
