Description,folio
sign of St Claude</pl> <mark>/</mark> Mirrors.<lb/>,001r
"the <pl>Faubourg Saint-Germain</pl>,<comment rid=""c_001r_76""/> knows of the",001r
"Escrivains</pl> by <pl>St Jacques de la Boucherie</pl>,<comment rid=""c_001r_77""/>",001r
"Escrivains</pl> by <pl>St Jacques de la Boucherie</pl>,<comment rid=""c_001r_77""/>",001r
"<la>Sacra <pn><pl>Eleusinæ</pl> deæ</pn><comment rid=""c_001r_05""/> propalare",001r
"<pl>Ingolstadiensis</pl>, Comment. <pl>urb.",001r
"rom.</pl></la><comment rid=""c_001r_11""/><lb/>",001r
"<fr>Grammaire <pl>italie</pl>ne</fr><comment rid=""c_001r_23""/><lb/>",001r
"<pl>Lyon</pl></fr><comment rid=""c_001r_28""/><lb/>",001r
"<pn>Alexander ab <pl>Alexandria</pl></pn><comment rid=""c_001r_81""/><lb/>",001r
"Salviano</pn><comment rid=""c_001r_06""/> Typhernate authore, <pl>Romæ</pl> 1554</la></emph><comment rid=""c_001r_38""/></ab>",001r
"<pl>Normandie</pl></fr><comment rid=""c_001r_39""/></ab>",001r
"<ab><m><pa>Prunes</pa> of <pl>Saint Antonin</pl></m>, &amp; if you like",001v
"<pl>Brescia</pl> per <pn>Vincenzo Sabio</pn>.<comment rid=""c_002v_01""/></it></emph></ab>",002v
"<head margin=""right-top""><hr/><comment rid=""c_002v_07""/><add><m>Emeralds of <pl>Brissac</pl></m></add><hr/></head>",002v
"you add in a little <m><pl>Venice</pl> <fr>laque platte</fr></m>, the",003r
<ab>Take a <ms>lb</ms> of <m><pl>Venice</pl> turpentine</m> &amp; heat,003r
"<tl><m><fr>arene</fr></m></tl> you can smooth them with <tl><m><pl>Venice</pl> tripoli</m></tl>,",005r
"polished. Next take <m>fine <la>boli <pl>armeni</pl></la></m><comment rid=""c_006r_01""/> &amp;",006r
</pl> <fr>laque platte</fr></m> on <tl><m>marble</m></tl> with,006r
"<pa><fr><oc>pomole</oc></fr></pa><comment rid=""c_009r_01""/> in <pl>Gascony</pl> or",009r
"<pa><fr>baillard</fr></pa> in <pl>France</pl>,<comment rid=""c_009r_02""/> makes the earth shake seven <tmp>years</tmp> later,",009r
<ab>It is made in <pl>Lyon</pl> from the <m>juice of weld</m> &amp;,010r
"who make it in <pl>Germany</pl> compound it like <m>enamel</m>, in large",011r
