Description,folio
<pro>master</pro>.<lb/>,001r
<pro>currier</pro>. Try <m><pa>pastel woad</pa> flowers</m>.</ab>,001r
The <pro>harvester</pro> that leaves some ears is not,001r
"<pn>Eupolemus</pn>,<comment rid=""c_001r_19""/> <la><pro>historicus</pro> gentilis<lb/>",001r
"<fr>Calendrier des <pro>bergiers</pro></fr><comment rid=""c_001r_22""/><lb/>",001r
figulines</pro> to the,001r
"<pro>king</pro><lb/> and the <pro>queen mother</pro><comment rid=""c_001r_32""/></ab>",001r
"<pro>king</pro><lb/> and the <pro>queen mother</pro><comment rid=""c_001r_32""/></ab>",001r
"<m>minium</m> 16 <ms>℥</ms>, <m><pro>blacksmith</pro>’s",002v
"promptly dry. <pro>Frame makers</pro>, to avoid the trouble of polishing",004r
"their <m>ebony</m>, varnish it with this, as do <pro><mu>guitar</mu> makers</pro>.",004r
"after <m>sands</m>, in the chapter on <pro>furbishers</pro>.<comment rid=""c_004v_01""/></ab>",004v
"<head><m>Varnish of <pro>iron engravers</pro></m><comment rid=""c_004v_02""/></head>",004v
<pro>women</pro> can see the <bp>secret places</bp> that they do not,005v
want to show to <pro>surgeons</pro>. It casts the representation out of,005v
<tl>file</tl>. <pro>Glass button makers</pro> also avail themselves of,006v
being <m>salted</m>. <pro>Joiners</pro> <m>glue</m> their masterpieces,007r
with it and <pro><mu>guitar</mu> maker<ill/></pro> use it for delicate works.,007r
"<ab><la><m>Aquæ <pro>fabrorum</pro> antiquæ</m> <ms>lb</ms> i.,",007v
<head>M<del><ill/></del>ixture of <pro>Pewterers</pro></head>,008v
<head><pro>Plowman</pro></head>,009r
<pro>harvesters</pro> beat it most often <tmp>at night <env>in the cool,009r
<head><pro>Painter</pro></head>,009r
<head><pro>Merchant</pro></head>,009r
"formulary for <pro>apprentices</pro>, by which they can know how much",009r
<head><pro>Painter</pro></head>,009v
<head><pro>Merchant</pro></head>,009v
"<ab><comment rid=""c_009v_03""/>The rule that <pro>merchants</pro> are accustomed to keep in their",009v
