Description,folio
"<m>distemper glue</m>, it is necessary to lay one coat of the said",003v
"is well melted, which you will know by taking a little of the said",004r
"soak both in <m>water</m>. And with a <tl>sponge</tl>, take the said",004r
"said liquor, &amp; it will promptly engrave.</ab>",005r
<ab>The concave mirror composed in the aforesaid form produces an,005r
&amp; apply them with the said <m>glue</m>. </ab>,005v
various colors by covering the <m>latten or iron wire</m> with the said,006v
"<tl>cannules</tl> for capes, which are cut, as said, with a",006v
the said <tl>furnace</tl>.</ab>,006v
"stamping either in <m>tin</m>, as is said,<comment rid=""c_007r_01""/> or",007r
"colored with the aforesaid colors of <m>lake</m>, <m>verdet</m>,",007r
cloth</tl> with the said <m>water</m> &amp; apply it lukewarm on the,007v
said <m>mercury</m> fly off. Next grind it on <tl><m>marble</m></tl>,008v
which the said <pn>du Cros</pn> has made a bill on the said,009v
which the said <pn>du Cros</pn> has made a bill on the said,009v
"<ab>You know how, with scrapings of the said <m>horn</m>,",010r
<m>filings of talc or of pins</m> on the fresh <m>cement</m> of the said,010r
"<ab>Rub the <m>steel</m> with <m>common aquafortis</m>, mixing the said",011v
more <m>powder of the said plaster</m> &amp; <del><ill/></del> grind it,012r
"said tripoli</m></tl>, rub &amp; polish the <m>pearl</m>.</ab>",012v
"of the said crust, several ciphers, letters, circles",012v
"without this, and I put the aforesaid thing, <m>enilanroc</m>, in a",012v
polished on the aforesaid <tl>wheel</tl>.</ab>,013r
"<ab>It is said that if one calls a <al>snake</al> in Greek, saying",013v
"was said, &amp; continues thus until the wall is complete,",014r
in the said wall. They also make the,014r
the said circles by soaking them in <m>hot water</m> and next fashion them,015v
the bottom is red hot and then you will put there the aforesaid load of,016v
"cooked. Having done that, you will put your said <tl>molds</tl> on the",020r
<m>dough</m>. Next you will cover the said <tl>molds</tl> with,020r
"done that, you will put a little <m>hay</m> on the said <tl>lids</tl>",020r
"end of the aforesaid <tl>ruler</tl>. Next, they measure with a",021v
"<m>eau-de-vie</m>. Next, let the said <m>canvas</m> dry well, and then",023v
one needs to join to the said sausage a long <tl>string</tl> or,023v
"already said above, concerning the one of 3 <ms>quintals</ms>. One man",023v
ball can only <del><fr>a</fr></del> roll up to the opening of the said,024v
"in the middle of the thickness &amp; proportion of the balls, as is said",025v
"needs to observe the aforesaid proportion, &amp; draw the <wp>piece</wp> in a",025v
the <tl>mold</tl> of the said pints in <m><fr>grais</fr></m>.</ab>,030r
"<fr>n</fr></del>, as is said. These fumes are made right in the middle of the",030r
"need, they tighten the said wedges, wedging them with the",030v
copper</m> in its residue if you distil the aforesaid things through a,031r
said red is applied on one side &amp; the other of the <m>glass</m> in order,032v
"<tl>nail</tl> which is at the butt of the said <tl>handle</tl>, in order",033r
<del>let</del> <add>easily</add> &amp; surrounds the said,034v
"<m>sanguine</m>, as is said elsewhere, the black &amp; gray &amp;",037v
"<ab>One finds <m>sapphires</m> that one calls <df>of the trellis</df>, because they are pierced and it is said that a",038r
"hottest sun</env> to dry, &amp; is mixed, &amp; the said",038r
