Description,folio
"<m>turpentine oil</m>, that is to say a <ms><ms>bucket</ms> an",003v
Some say it is not good to distil in this <tl><m>copper</m>,003v
"<df><m>soft tin</m></df>, that is to say fine, which has not yet been used.",005r
"you only need to switch them, that is to say put the one that was",005r
according to the common saying. <pa>Beans</pa>,009r
"books, that is to say, the waste book, the sales book, and the ledger,",009v
"is natural, others say that it is a secret of <pro>ancient lapidaries</pro>",012v
"that is lost, others say that it is <m>refired enamel</m>. And by means",012v
"<ab><m>Sublimated arsenic</m>, that is to say, the white one that is",013r
"<ab>It is said that if one calls a <al>snake</al> in Greek, saying",013v
"to say, kept in <m>musk</m>, for it <md>comforts quite well</md>.</ab>",015v
"long-lasting, so say some. I believe, however, that it is enough to keep",016v
"greenness which they expel on the surface, they redden, that is to say",017r
"all in one go but in two &amp; ramming each time, saying that each",018r
"<fr><wp>Arquebus à croc</wp></fr> weighs lx <ms>lb</ms>, that is to say the large one is",019r
<head>Common saying</head>,020v
"<ab>To point a <wp>cannon</wp>, that is to say to take its aim, one needs to take",021r
"the sight, that is to say aim, from the sides before the top, that is to",021r
"say above the <wp>cannon</wp>. For by aiming along the top, you will be better",021r
<ab>Some say that one should remove the ball if the <wp>cannon</wp> is loaded,021v
"wall, some say, <del>for</del> that is, as if at an",025r
"that is to say alloyed with a lot of <m>lead</m>, one puts",028v
<ab><pro>Apothecaries</pro> say that anything which does not adhere to,029v
"<m>honey</m>, that is to say a few <ms>drops</ms> to make it stick. And",032r
and make it hold against your <bp>forehead</bp>. Then say to the,033v
"to a certain place and back, he cannot say boot without spur four times",034r
"<ab><mark>X</mark> If he tries to say<del><fr>a</fr></del><comment rid=""c_034r_04""/> it,",034r
"to say boot four times without saying spur, for that is your",034r
"to say boot four times without saying spur, for that is your",034r
&amp; after saying,034v
"for the ladies whose bottom hurts, that is to say, the bottom of the",036r
<ab>One says that in <pl>Lorraine</pl> &amp; in <pl>Flanders</pl>,036v
"is to say <pa>wheat</pa> <del><fr>fl</fr></del> chaff, in order that the",037v
<ab>One says that rarely a tree planted on <tmp><pn>St. Paul</pn>'s,038v
mold-like veins which are as if golden or silver. One assays it in the,039r
"say castrate, when they are one or two <ms><tmp>years</tmp></ms> old, he",041v
"three <ms>lb</ms> of <m>debris</m>, that is to say the <m>copper shards",044r
"<m>aquafortis</m>; however, one says that <md>this corrupts them",046r
afterward &amp; causes a blackness on them</md>. One says that <m>oil of,046r
"in a piece of <m><al>beef</al></m>, then boiled, rejoins them, as they say.",047r
"that is to say iii or 4, or up to 5 <ms>grains</ms>, mixed with their",048r
"<pro>Pewterers</pro> cast in a <tl><m>copper</m> mold</tl>.<comment rid=""c_032v_01""/> One says",049r
"opening the beak, one would say that they are.<comment rid=""c_049v_05""/>",049v
"carve in <m>wood</m>, the secret is first to poach, that is to say to",051r
"it a dozen &amp; a half <m>chicken eggs</m>, that is to say, the",052r
