Description,folio
<df><m>Colophony</m></df> is nothing other than recooked <m>resin</m>. To do,003r
"<del>than of</del> glass</m> rather than with <m>brick</m>. Thus, here one",003r
"<del>than of</del> glass</m> rather than with <m>brick</m>. Thus, here one",003r
A little more <m>turpentine</m> than <m>turpentine oil</m> is needed in,003r
drips more than two <tmp>months</tmp> after it has been applied to the,003r
will cost you no more than five or six <cn>sous</cn> per,003v
"It is better to heat the <m>varnish</m> a little bit, rather than to",003v
"<ab>It is made from <m><al>codfish</al> skin</m>, boiled rather than",007r
"stronger than that used for painting, &amp; paint it on",007v
"&amp; other <m>stones</m>, which will be a work more appropriate than on",010r
<ab>There is nothing better than the black varnish of,011v
"crust, and is whiter than the one cast in <m>sand</m>. The",015r
"stronger than the melted ones which, being brittle, are more subject to",016r
<ab><m>Crimson</m> is more abundant than all,016v
importance</env>. They are no more subject to bursting than the others,017r
for <tmp>longer</tmp> in a <del>small</del> <wp>long piece</wp> than a,017r
<m>rosette</m> than in the <m><fr>metal</fr> of small bells</m>. The,017r
needs xxv <al>horses</al> to draw it. When one fires it farther than its,017v
of <wp>cannon-perriers</wp> of xxx <ms>quintals</ms> which are longer than the,017v
The <m>rosette</m> for re-melting is more profitable than,017v
"battery, is 30 <ms>lb</ms> and thus lighter than that of the <wp>cannon</wp>. And",018r
"<wp>pieces</wp> <del>that exceed</del> <add>smaller than</add> average, for to",018r
more appropriate for the defense of a <env>city</env> than for battery.,018v
"three balls &amp; two in front</ms>, as do all <wp>pieces</wp> that are smaller than",018v
elsewhere</env> one fires them more frequently than the <wp>large pieces</wp>.,018v
effective hitting at close range than that of <m>iron</m>. But the,019r
better because they will penetrate more than six <m>lead</m> ones. Its,019r
"other than <wp>orgues</wp>. See the 4th leaf following, marked",019r
skin</m> which is more mitten-like than any other. And then one would,019v
"convenient than the <tl>syringe</tl> which has been discovered since,",019v
<ab><m>Glass from <pl>Lorraine</pl></m> is smoother &amp; more even than,020r
better to make little diamonds rather than large square pieces in the,020r
if the <wp>cannon</wp> tends more to one side than the other. Therefore take your,021r
<m>powder</m> usually makes it rise. But if you were farther away than,021r
"point, that it will not incline more to the right than to the left. And",021r
believed that the fire would sooner exit that way than going to seek its,021v
"breach than <wp>petards</wp><comment rid=""c_008r_04""/> placed at the entryway at the time of the assault.",021v
"holding the blast a little rather than breaking, they have more",021v
"thickess more than the <wp>cannon</wp>, &amp; half at the front. Its charge is",022v
"six or seven <ms>lb</ms> of <m>powder</m>, more than a <wp>cannon</wp>, namely by",022v
more of a fracas at the wall than the <wp>cannon</wp>. But it is very troublesome,022v
"for an entry, than for ordinary business. One calls<comment rid=""c_022v_06""/> them",022v
breech than at the mouth &amp; is all of one piece. Its substance needs,023r
