Description,folio
"<ab><mark>X</mark><comment rid=""c_084v_02""/> They are called of <m>steel</m> because in times",005r
past they were commonly made of <m>steel</m> polished with,005r
<pro>women</pro> can see the <bp>secret places</bp> that they do not,005v
"be broken, and they will not break at any other place. You can bend",006v
"when the large <tl>cannule</tl> is red, they seize the hot end using",006v
throw them one after another into a good <tl>brazier</tl> where they may,007v
<ab>Because among the <m>fine tin</m> they quite often mix a <ms>half</ms>,008v
"this, they mix in <m>latten filings</m> to render it",008v
"<ab>They commonly have four books. The <fr>tyrant</fr>, which is a",009r
"formulary for <pro>apprentices</pro>, by which they can know how much",009r
"it should be sold. The second is the waste book, where they put down in",009r
"rough what they sell daily. The third is the sales book, where they",009r
"rough what they sell daily. The third is the sales book, where they",009r
<ab>They completely melt <m>orpiment</m> in a <tl><m>glass</m>,009v
"are not so appropriate here, although they are very beautiful.</add> <add>One",010r
"next they glaze it with <m>lake</m>, which will be more appropriate for",010r
"Some take the most delicate they can &amp; grind it with <m>ceruse</m>,",011r
"the area they want to paint with <m><fr>azur d’esmail</fr></m>, in order that the",011r
"pieces which they pestle, &amp; pass through several <tl>sieves</tl>",011r
"<ab>To make <m>azures</m> beautiful, they wash or soak them in a",011r
"<m><df>rock water</df></m>, as they call it; it is a",011r
they die in <m>oil</m>. Only true <m>azure</m> holds on. <m><fr>Azur,011r
"<m><pro><oc>fuller</oc></pro>’s earth</m>, with which they dress the",012r
"solders</tl>, &amp; as they were red, I",013r
"<ab>When they have been applied in embroidery on some garment, they are",013v
"<ab>When they have been applied in embroidery on some garment, they are",013v
"<tl>brazier</tl> in the <env>chamber</env> of some persons <tmp>at night</tmp>, <md>they",013v
good the <m>tallow</m> they use for it.,013v
"between which they throw the <m>earth</m>, making each",014r
different forms they <po>tamp</po> it &amp; beat it. One is called the,014r
in the said wall. They also make the,014r
"has <m>saltpeter</m> in it. That is why, when they fall down,",014r
three <ms><tmp>hours</tmp></ms> they feel well because of,015v
cannot be melted again because they only heat it in <tl>small,016r
difficult kind. And to this effect they make a <tl>furnace</tl> in this,016r
"<m><pa>wallwort</pa></m> when they want to make the melt run, and",016r
"this piece is very red, they beat it into the <tl>mold</tl> &amp; round",016r
vessel</tl> with them &amp; they will keep six,016v
<ab>They keep well in <m>bran</m> which makes them white &amp;,016v
"them in a <env>cool &amp; dry place</env>, in such manner that they are",016v
