Description,folio
"<pn>Angelius Bargæus</pn>,<comment rid=""c_001r_35""/> <la>De <al>aucupio</al> et",001r
<ab>Or else <m><pa>marshmallow</pa> root</m> in a <m><al>chicken</al>,001v
</al>tallow</m> the size of a <m><pa>bean</pa></m> or a,006r
"it with <m>smoke of <al>partridge</al><comment rid=""c_007r_05""/> or of yellow or red",007r
<ab>Good <m><al>dragon</al>’s blood</m> soaked in <m>eau-de-vie</m>,007r
<head><m><al>Fish</al> glue</m> or <m>isinglass</m> <add>and,007r
"<ab>It is made from <m><al>codfish</al> skin</m>, boiled rather than",007r
<ab>Rub your weapons or other gilt objects with <m>dry <al>horse</al>,010v
"<ab>Make two small thin slices of <m>raw <al>mutton</al> flesh</m>,",011v
<m>plaster</m> a <al>lizard</al> or something else.</ab>,012r
"point</tl>, and I polished it with <tl>small <m><al>hog</al> bristle</m> brushes</tl>",013r
"similar, &amp; dye. This will not come off unless the <al>animal</al>",013r
like <m><al>horse</al>hair</m>.</ab></div>,013v
<ab>The kind which comes from the head of the <al>toad</al> &amp; has,013v
"the figure of the <al>toad</al> painted naturally, as you have seen, is",013v
<head><al>Snakes</al></head>,013v
"<ab>It is said that if one calls a <al>snake</al> in Greek, saying",013v
"calls a <al>swine</al> in Greek, <del><fr>y</fr></del> <el>ïon</el>,<comment rid=""c_013v_01""/> it",013v
"<ab><al>Swallows</al> have taught us this craft, making their nests out",014r
<m>earth</m> is <m>sandy clay</m> mixed with <m><al>horse</al> dung</m>,015r
next erases it with a <tl><m><al>cuttlefish</al> bone</m></tl> by,015v
instead of <m>ordinary <wp>cannon</wp> powder</m>. And four good <al>horses</al>,017r
needs xxv <al>horses</al> to draw it. When one fires it farther than its,017v
One needs fifteen or sixteen <al>horses</al> for moving it. They are,018r
the <wp>large cannon</wp>. Ten <al>horses</al> can move it. <add>It accompanies well,018r
fired. Four <al>horses</al> can draw it. It shoots eight or nine hundred,018v
horses</al> for drawing it.</ab>,018v
it has three balls &amp; two in the front</ms>. Two <al>horses</al> can move,018v
"it, for a single <al>horse</al> does not begin to move a <wp>piece</wp>. It is",018v
"breech three balls</ms>, at the front, two. To move it, two <al>horses</al>,",018v
which for the best result <del>is</del> must be of <m><al>cat</al>,019v
needs thirty <al>horses</al> to draw it. It makes much,022v
"thickness of a <al>swan</al>’s quill</ms>, &amp; you need not bother to",024r
the <al>horses’</al> hooves in order that one does not hear,025r
<head><m><al>Dragon</al>’s blood</m></head>,029v
The <m>darker <al>dragon</al>’s blood</m><lb/>,029v
<ab>The <m>good kind of <al>dragon</al>’s blood</m> can be found in,029v
the <m><al>dragon</al>’s blood</m>.</ab>,029v
<m>white clay earth</m> mixed with <m><al>horse</al> dung</m> &amp; <m>cloth,030r
"plowed it, put at each foot two <ms><bp>handfuls</bp></ms> of <m><al>pigeon</al>",031r
<head>For making <al>rabbits</al> come out of a <env>burrow</env></head>,035r
"<ab>Make a <tl>small sheath of <m>plain leather, such as <al>cow</al> or",036r
<add><oc>Havets</oc> attract <al>field mice</al> who eat the seeds. And,037v
"<m><al>dragon</al>’s blood</m>, and apply it <del>of the</del> to",038v
"day</tmp><comment rid=""c_038v_04""/> fails to take, &amp; for covering the bark, <al>cow</al> dung",038v
<m><al>dragon</al>’s blood</m> tempered with <m>eau-de-vie</m>,040v
<m><al>horse</al> dung</m>. <m><pro>Potter</pro>’s earth</m> would be,041r
or a <ms>fifth</ms> of <m><add><al>horse</al></add> dung</m>. And leave,041r
<al>ox</al> horn</m> or <m>burned <fr>aspalte</fr></m> throughout. If you grind it quite,041r
<head><al>Ducks</al></head>,041r
<head>Sheared <al>ewes</al></head>,041v
<del><ill/></del> the very <m>dung of the <al>ewe</al></m> on top. When they,041v
must not have been with his wife for this would make the <al>sheep</al>,041v
<head><m><al>Horse</al>hair</m> sieves</head>,044v
<m><al>horse</al> tail hair</m> which they clean with <m>lye</m> because,044v
"<ab>Take <del>or</del> four or five <m>fresh <al>crow</al> eggs</m>,",046r
"in a piece of <m><al>beef</al></m>, then boiled, rejoins them, as they say.",047r
<head><md>Curing <al>dogs</al> of mange</md></head>,048r
<head>Keeping <al>birds</al> and animals</head>,048r
"sewn it, skin them, <del><al>birds</al></del> leaving, however, the head,",048r
"the neck, the wings &amp; the feet on the <al>birds</al>, &amp; the",048r
<m>Calcined <del>iron</del> <al>oyster</al> shell</m>,049r
"<al>cuttlefish</al> bones</m>, <ms>as much of one as of the other</ms>;",049r
<head><al>Birds</al></head>,049v
<ab><al>Calandra larks</al> &amp; all,049v
<al>birds</al> taken from the nest &amp; which have not had freedom are,049v
<al>calandra larks</al>. One knows this when they are sad &amp; do not sing.,049v
The <al>calandra lark</al> does not want to be without <del>grey</del>,049v
<head><al>Birds</al></head>,049v
because they are starting to fall into love. <oc><al>Ortolans</al></oc>,049v
"this country, they go <corr><del>t</del></corr> away like <al>turtledoves</al> do. <al>Siskins</al>",049v
"this country, they go <corr><del>t</del></corr> away like <al>turtledoves</al> do. <al>Siskins</al>",049v
"<oc><al>Ortolans</al></oc> are ventriloquists, such that singing without",049v
<head><al>Small birds</al></head>,050v
<ab><oc><al>Ortolans</al></oc> sing <tmp>at night</tmp> if they are left,050v
fine tables than for singing. <al>Chaffinches</al> are prone to becoming,050v
August</tmp>. <al>Goldfinches</al> like <pa>lettuce</pa> seeds very,050v
"<pa>hemp</pa> seed. The <al><fr>passe solitaire</fr></al><comment rid=""c_050v_01""/> is purged",050v
"with a <m><al>spider</al></m>, which one needs to give to it",050v
"<fr>gaillardisse</fr><comment rid=""c_049v_06""/> comes to it. The <al>calandra</al> is purged with <m>dry",050v
"birds</al> are purged with the same <m>dry mortar</m>, by putting some",050v
pieces in their <tl>cages</tl>. The <al>cuckoo</al> lays in the nest of,050v
<oc><al>ortolans</al></oc> otherwise called <al><fr>verdaule</fr></al>.,050v
<oc><al>ortolans</al></oc> otherwise called <al><fr>verdaule</fr></al>.,050v
"This <al>bird</al> is very simple. In the past, I have given leave to two of them,",050v
"young <al>goldfinches</al>, one needs to <tl>pestle</tl>",050v
"<m><pa>hemp</pa> seed</m>. If it is for <al>linnet</al>, some",050v
<ab>Take a <al>colt</al> of three or 4 years &amp; feed it on,052r
<del><fr>pig</fr></del> cut in the manner one feeds <al>horses</al> in,052r
seeds</al></m>. And after having <m><tl>luted</tl></m> the,052r
<al>worms</al> are engendered. And then remove the <tl>mattras</tl>,052r
until all the <al>worms</al> will have eaten &amp; consumed one,052r
"<al>snake</al>, one <ms><fr>empan</fr></ms> &amp; 4",052r
"a <tl><m><al>cuttlefish</al> bone</m></tl>, provided it is good.</ab>",053r
<al>horse</al> bones</m> mold very neatly.</ab>,053r
of <al>oxen</al></m> or<lb/>,053r
"<m><al>sheep</al></m>, that is to say, the <m>spongy bone</m> from the inside,<lb/>",053r
<head><al>Silkworms</al></head>,053v
<al>worms</al> which come from there are not so subject to illnesses,053v
"<del><m>silk</m></del> seed, <al>worms</al> are produced from it which",053v
