ingredient,type
blackthorn sloe,plant-matter
cabbage,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
clove oil,plant-matter
clove oil,plant-matter
comphrey,plant-matter
cotton,plant-matter
dittany,plant-matter
garlic,plant-matter
gentian,plant-matter
gilliflower,plant-matter
houseleek,plant-matter
ivy leaves,plant-matter
jujube,plant-matter
juniper berries,plant-matter
lapathum,plant-matter
linseed oil,plant-matter
mandrake,plant-matter
marshmallow,plant-matter
marshmallow,plant-matter
oil of guaiac,plant-matter
olive leaves,plant-matter
olive oil,plant-matter
onion,plant-matter
orange peel,plant-matter
peony,plant-matter
pepper,plant-matter
pomegranate,plant-matter
prune,plant-matter
puffball,plant-matter
quince,plant-matter
quince,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rue,plant-matter
rue,plant-matter
salt,plant-matter
sorrel,plant-matter
storax,plant-matter
sugar,plant-matter
sumac,plant-matter
walnuts,plant-matter
wheat oil,plant-matter
wheat oil,plant-matter
alum,minerals-chemicals
alum,minerals-chemicals
armenian bole,minerals-chemicals
crocum ferri,minerals-chemicals
lead,minerals-chemicals
marcasite,minerals-chemicals
oil of sulfur,minerals-chemicals
oil of sulfur,minerals-chemicals
oil of sulfur,minerals-chemicals
pitch,minerals-chemicals
quicklime,minerals-chemicals
sal ammoniac,minerals-chemicals
salt,minerals-chemicals
sublimate,minerals-chemicals
turpentine,minerals-chemicals
venice turpentine,minerals-chemicals
vinegar,minerals-chemicals
vinegar,minerals-chemicals
wax oil,minerals-chemicals
white copperas,minerals-chemicals
beef,food-drink
bread,food-drink
mutton,food-drink
toast,food-drink
wine,food-drink
wine,food-drink
wine,food-drink
wine,food-drink
beeswax,animal-product
butter,animal-product
cat skin,animal-product
chicken gut,animal-product
crow eggs,animal-product
egg yolk,animal-product
honey,animal-product
honey,animal-product
horse dung,animal-product
pig's bladder,animal-product
rose honey,animal-product
rose honey,animal-product
snail,animal-product
toad,animal-product
old smiths water,misc-medical
pill of precipitate,misc-medical
theriac,misc-medical
white ointment,misc-medical
