ingredient,type
angelica,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aniseed water,plant-matter
aniseed water,plant-matter
barley,plant-matter
bay leaf,plant-matter
bean water,plant-matter
borage flowers,plant-matter
brown sugar,plant-matter
camphor,plant-matter
castor,plant-matter
centaury,plant-matter
chamomile,plant-matter
chamomile,plant-matter
cherry,plant-matter
cherry water,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
clove,plant-matter
comfrey root,plant-matter
damask rosewater,plant-matter
date,plant-matter
date,plant-matter
elecampane,plant-matter
eringo root,plant-matter
fig,plant-matter
fig,plant-matter
ginger,plant-matter
ground ivy syrup,plant-matter
hemlock,plant-matter
lavender cotton,plant-matter
lemon,plant-matter
lemon balm,plant-matter
lemon syrup,plant-matter
licorice,plant-matter
licorice,plant-matter
licorice,plant-matter
licorice powder,plant-matter
lily root,plant-matter
mace,plant-matter
manna,plant-matter
marigold,plant-matter
marshmallow,plant-matter
marshmallow root,plant-matter
marshmallow syrup,plant-matter
mint,plant-matter
mint,plant-matter
mulberry syrup,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
poppies,plant-matter
poppies,plant-matter
poppy seed,plant-matter
quince,plant-matter
raisin,plant-matter
raisin,plant-matter
raisin,plant-matter
red poppy water,plant-matter
rosa solis (herb sundew),plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosewater,plant-matter
sage,plant-matter
sage,plant-matter
salad oil ,plant-matter
salad oil ,plant-matter
sandalwood,plant-matter
scorcernero root,plant-matter
southernwood (artemisia),plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
thyme,plant-matter
white sugar,plant-matter
white sugar,plant-matter
wormseed,plant-matter
wormwood,plant-matter
alum,minerals-chemicals
aqua vitae,minerals-chemicals
flower of brimstone,minerals-chemicals
hartshorn,minerals-chemicals
salt prunella,minerals-chemicals
venice turpentine,minerals-chemicals
brown bread,food-drink
canary (sack),food-drink
oatmeal,food-drink
white wine,food-drink
white wine,food-drink
beeswax,animal-product
cock broth,animal-product
gall of suckling pig,animal-product
honey,animal-product
honey of roses,animal-product
honey of roses,animal-product
milk,animal-product
milk,animal-product
milk,animal-product
milk,animal-product
milk,animal-product
plankton,animal-product
raven,animal-product
rooster grease,animal-product
whey,animal-product
oxymell of squills,misc-medical
