ingredient,type
agrimony,plant-matter
agrimony,plant-matter
almond,plant-matter
aloe,plant-matter
angelica,plant-matter
angelica,plant-matter
aniseed,plant-matter
aniseed water,plant-matter
balsam,plant-matter
barley water,plant-matter
bay leaf,plant-matter
bay leaf,plant-matter
bay leaf,plant-matter
benjamin,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
borage,plant-matter
borage flower,plant-matter
brown sugar,plant-matter
burnet,plant-matter
calamint,plant-matter
camphor,plant-matter
camphor,plant-matter
caraway,plant-matter
carduus benedictus (holy thistle),plant-matter
carduus benedictus (holy thistle),plant-matter
carduus benedictus (holy thistle),plant-matter
carduus benedictus (holy thistle),plant-matter
celadine,plant-matter
celadine,plant-matter
celadine,plant-matter
celadine,plant-matter
centuary,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile oil,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
clove,plant-matter
clove,plant-matter
clove,plant-matter
clove,plant-matter
clove,plant-matter
coriander,plant-matter
cowslip,plant-matter
cumin,plant-matter
date,plant-matter
dragon,plant-matter
elderberry,plant-matter
elderflower,plant-matter
elecampane,plant-matter
elecampane,plant-matter
elecampane,plant-matter
elm,plant-matter
featherfew,plant-matter
fennel,plant-matter
fennel,plant-matter
fennel,plant-matter
fennel,plant-matter
fennel,plant-matter
filipendula,plant-matter
frankincense,plant-matter
frankincense,plant-matter
fumitory,plant-matter
galangal,plant-matter
galangal,plant-matter
gentian,plant-matter
ginger,plant-matter
ginger,plant-matter
gromwell,plant-matter
guiacum ,plant-matter
hawthorn berry,plant-matter
hortstrange,plant-matter
houndstongue,plant-matter
houseleek,plant-matter
lavender,plant-matter
lavender,plant-matter
lavender,plant-matter
lavender cotton,plant-matter
lemon,plant-matter
lemon balm,plant-matter
licorice,plant-matter
licorice,plant-matter
licorice,plant-matter
linseed,plant-matter
mace,plant-matter
mace,plant-matter
madder,plant-matter
marigold,plant-matter
marigold leaf,plant-matter
marigold leaf,plant-matter
marshmallow,plant-matter
marshmallow,plant-matter
marshmallow,plant-matter
mayweed,plant-matter
meliot,plant-matter
mint,plant-matter
mint,plant-matter
mugwort,plant-matter
mugwort,plant-matter
mulberry root,plant-matter
mustard seed,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
olive oil,plant-matter
onion,plant-matter
parsley,plant-matter
parsley,plant-matter
parsley,plant-matter
pellitory of the wall,plant-matter
pellitory of the wall,plant-matter
peony,plant-matter
pepper,plant-matter
pepper,plant-matter
pepper,plant-matter
pimpernel,plant-matter
pimpernel,plant-matter
plaintain,plant-matter
plaintain,plant-matter
plaintain,plant-matter
plaintain leaf,plant-matter
plantain,plant-matter
polypodium,plant-matter
prune,plant-matter
raisin,plant-matter
red rose,plant-matter
red rose,plant-matter
red rose leaf,plant-matter
red rose water,plant-matter
red sage,plant-matter
resin,plant-matter
rew,plant-matter
rose oil,plant-matter
rose oil,plant-matter
rose oil,plant-matter
rose water,plant-matter
rose water,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosemary,plant-matter
rosewater,plant-matter
rosin,plant-matter
rue,plant-matter
rue,plant-matter
rue,plant-matter
rue,plant-matter
rue,plant-matter
saffron,plant-matter
saffron,plant-matter
saffron,plant-matter
sage,plant-matter
sage,plant-matter
sage,plant-matter
sage,plant-matter
sage,plant-matter
sage,plant-matter
salad oil,plant-matter
salad oil,plant-matter
salad oil,plant-matter
salad oil,plant-matter
salad oil,plant-matter
salad oil,plant-matter
salad oil,plant-matter
sandalwood,plant-matter
sassafrass,plant-matter
scabious,plant-matter
scabious,plant-matter
scabious,plant-matter
scordium,plant-matter
scordium,plant-matter
senna,plant-matter
senna,plant-matter
senna,plant-matter
senna,plant-matter
sorel,plant-matter
sorel,plant-matter
spike,plant-matter
spike oil,plant-matter
St. John's wort,plant-matter
strawberry leaf,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
sugar,plant-matter
tansy,plant-matter
thyme,plant-matter
thyme,plant-matter
thyme,plant-matter
thyme,plant-matter
tormentil,plant-matter
violet,plant-matter
violet,plant-matter
violet oil,plant-matter
violet oil,plant-matter
watercress,plant-matter
wheat bran,plant-matter
wheat flour,plant-matter
white lily oil,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood,plant-matter
wormwood ,plant-matter
zedoary (turmeric),plant-matter
alum,minerals-chemicals
alum,minerals-chemicals
aqua vitae,minerals-chemicals
aqua vitae,minerals-chemicals
aqua vitae,minerals-chemicals
bay salt,minerals-chemicals
bole armeniac,minerals-chemicals
bole armeniac,minerals-chemicals
bole armeniac,minerals-chemicals
brimstone,minerals-chemicals
calamine (zinc ore),minerals-chemicals
calamine (zinc ore),minerals-chemicals
copper,minerals-chemicals
cream of tartar,minerals-chemicals
flower of brimstone,minerals-chemicals
gum storax,minerals-chemicals
laudanum,minerals-chemicals
lye,minerals-chemicals
manus christi,minerals-chemicals
pitch,minerals-chemicals
read lead,minerals-chemicals
read lead,minerals-chemicals
red lead,minerals-chemicals
red lead,minerals-chemicals
red lead,minerals-chemicals
red lead,minerals-chemicals
red wax,minerals-chemicals
turpentine,minerals-chemicals
tutty (zinc oxide),minerals-chemicals
venice turpentine,minerals-chemicals
venice turpentine,minerals-chemicals
vinegar,minerals-chemicals
wax,minerals-chemicals
white wax,minerals-chemicals
white wine vinegar,minerals-chemicals
yellow wax,minerals-chemicals
ale,food-drink
ale,food-drink
ale,food-drink
ale,food-drink
ale,food-drink
beer,food-drink
greek wine,food-drink
rennish wine,food-drink
sack,food-drink
sack,food-drink
sack,food-drink
white bread,food-drink
white bread,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
white wine,food-drink
beef marrow,animal-product
beeswax,animal-product
beeswax,animal-product
beeswax,animal-product
butter,animal-product
butter,animal-product
deer suet,animal-product
deer suet,animal-product
deer suet,animal-product
egg,animal-product
egg shell,animal-product
egg white,animal-product
egg white,animal-product
hen dung,animal-product
hog lard,animal-product
honey,animal-product
honey,animal-product
horse dung,animal-product
milk,animal-product
milk,animal-product
milk,animal-product
mutton suet,animal-product
ox marrow,animal-product
red cow's milk,animal-product
rooster,animal-product
rooster grease,animal-product
sheep heart,animal-product
sheep suet,animal-product
sheep suet,animal-product
sheep suet,animal-product
snail,animal-product
stones from rooster,animal-product
suet,animal-product
whey,animal-product
treacle,misc-medical
mithridate,misc-medical
