ingredient,type
agaric,plant-matter
agrimony,plant-matter
agrimony,plant-matter
agrimony,plant-matter
agrimony,plant-matter
agrimony,plant-matter
agrimony,plant-matter
alehoof (ground ivy),plant-matter
alehoof (ground ivy),plant-matter
alehoof (ground ivy),plant-matter
alewort,plant-matter
almond oil,plant-matter
aloe,plant-matter
angelica (celery),plant-matter
angelica root ,plant-matter
angelica water,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aniseed,plant-matter
aristolochia,plant-matter
ash key,plant-matter
asparagus,plant-matter
balm,plant-matter
barley,plant-matter
bay berry,plant-matter
bay leaf,plant-matter
bay leaves,plant-matter
bay oil,plant-matter
bay oil,plant-matter
bdellium (bedelium),plant-matter
benjamin,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
betony,plant-matter
bindweed,plant-matter
bindweed,plant-matter
birthworth (aristolochia),plant-matter
bloodwort,plant-matter
borage,plant-matter
borage,plant-matter
bramble,plant-matter
bran,plant-matter
brook lime,plant-matter
brook lime,plant-matter
brown sugar,plant-matter
brown sugar,plant-matter
bugloss,plant-matter
bugloss,plant-matter
bugloss,plant-matter
campana,plant-matter
camphor,plant-matter
camphor,plant-matter
camphor,plant-matter
camphor,plant-matter
camphor,plant-matter
camphor powder,plant-matter
camphor powder,plant-matter
caraway,plant-matter
caraway,plant-matter
cardamom,plant-matter
carduus benedictus (holy thistle),plant-matter
carduus benedictus (holy thistle),plant-matter
castor,plant-matter
cedar oil,plant-matter
celandine,plant-matter
celandine,plant-matter
celandine,plant-matter
ceterach,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile,plant-matter
chamomile oil,plant-matter
cherry,plant-matter
china root,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinnamon,plant-matter
cinquefoil (sincfield),plant-matter
citron,plant-matter
citron,plant-matter
cloves,plant-matter
cloves,plant-matter
coltsfoot,plant-matter
coltsfoot,plant-matter
coltsfoot,plant-matter
coltsfoot,plant-matter
columbine (cullobine),plant-matter
coriander,plant-matter
cowslip,plant-matter
cowslip,plant-matter
cubeb (pepper),plant-matter
cumin,plant-matter
cumin,plant-matter
currant,plant-matter
currant,plant-matter
damask powder,plant-matter
damask rose,plant-matter
dandelion (lyon tooth),plant-matter
dandelion (lyon tooth),plant-matter
date,plant-matter
date,plant-matter
date stone,plant-matter
dill oil,plant-matter
dittany,plant-matter
dockroot,plant-matter
dodder,plant-matter
elder leaves,plant-matter
elderflower,plant-matter
endive,plant-matter
featherfew,plant-matter
featherfew,plant-matter
fennell,plant-matter
fennell,plant-matter
fennell,plant-matter
fennell,plant-matter
fenugrek,plant-matter
fig,plant-matter
fig,plant-matter
fig,plant-matter
fig,plant-matter
flax seed,plant-matter
frankincense,plant-matter
frankincense,plant-matter
frankincense,plant-matter
frankincense,plant-matter
frankincense,plant-matter
fumitory,plant-matter
fumitory,plant-matter
galbanum,plant-matter
galingall,plant-matter
gentian,plant-matter
ginger,plant-matter
ginger,plant-matter
ginger,plant-matter
ginger,plant-matter
green onion,plant-matter
ground ivy,plant-matter
grumwall,plant-matter
hartshorne,plant-matter
hartstongue,plant-matter
hartstongue,plant-matter
hartstongue,plant-matter
hops,plant-matter
horsetail,plant-matter
hyssop,plant-matter
hyssop,plant-matter
hyssop,plant-matter
hyssop,plant-matter
hyssop,plant-matter
ivy leaves,plant-matter
juniper berries,plant-matter
juniper oil,plant-matter
lady's smock,plant-matter
lavender,plant-matter
lavender,plant-matter
lavender,plant-matter
lavender,plant-matter
lavender cotton (cypress),plant-matter
lemon,plant-matter
lemon,plant-matter
lemon,plant-matter
lettuce,plant-matter
licorice,plant-matter
lignum aloes,plant-matter
lily of the valley,plant-matter
linseed oil,plant-matter
liquorice,plant-matter
liquorice,plant-matter
liquorice,plant-matter
liquorice,plant-matter
liverwort,plant-matter
liverwort,plant-matter
liverwort,plant-matter
liverwort,plant-matter
liverwort,plant-matter
loaf sugar,plant-matter
lungwort,plant-matter
mace,plant-matter
mace,plant-matter
mace,plant-matter
mace,plant-matter
maidenshair,plant-matter
maidenshair,plant-matter
maidenshair,plant-matter
maidenshair,plant-matter
marigold,plant-matter
marigold,plant-matter
marjoram,plant-matter
marjoram,plant-matter
marjoram,plant-matter
marshmallow,plant-matter
marshmallow,plant-matter
marshmallow,plant-matter
mastic,plant-matter
mayweed,plant-matter
mint,plant-matter
mugwort,plant-matter
mugworth,plant-matter
mulberry syrup,plant-matter
mustard seed,plant-matter
myrrh,plant-matter
myrrh,plant-matter
myrrh,plant-matter
myrrh,plant-matter
myrrh,plant-matter
myrrh oil,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
nutmeg,plant-matter
oak bark,plant-matter
olive oil,plant-matter
olive oil,plant-matter
onion,plant-matter
opopanax,plant-matter
orange,plant-matter
orange,plant-matter
orris powder,plant-matter
parsley,plant-matter
parsley root,plant-matter
pellitory of the wall,plant-matter
pennyroyal,plant-matter
pennyroyal,plant-matter
peony,plant-matter
peony,plant-matter
pepper,plant-matter
peppercorn (grain of paradise),plant-matter
pimpernel,plant-matter
pimpernel,plant-matter
plaintain,plant-matter
plantain,plant-matter
polypodium,plant-matter
raisin,plant-matter
raisin,plant-matter
raisin,plant-matter
raisin,plant-matter
raisin,plant-matter
red rose,plant-matter
red rose leaf,plant-matter
red rose water,plant-matter
resin,plant-matter
resin,plant-matter
rhubarb,plant-matter
rhubarb,plant-matter
