Entry,Recipe type
For loosening the belly (1v),bodily pain and discomfort
Against pains (2r),bodily pain and discomfort
Against windy colic (7v),bodily pain and discomfort
Ears (15v),bodily pain and discomfort
Toothache (15v),bodily pain and discomfort
Clysters (19v),bodily pain and discomfort
Against winds (20v),bodily pain and discomfort
Against burn (20v),bodily pain and discomfort
A form of regimen (20v),bodily pain and discomfort
Medicine for the stomach which heats it and unstops the liver (37r),bodily pain and discomfort
Against nosebleed and for dyeing (38v),bodily pain and discomfort
Against wounds (55r),bodily pain and discomfort
For preventing teats from swelling (66v),bodily pain and discomfort
For making water for disease of the eyes (79r),bodily pain and discomfort
"Against burns, excellent (103r)",bodily pain and discomfort
Enema (103v),bodily pain and discomfort
Crocum ferri (120v),bodily pain and discomfort
For relieving the pain of G. (7v),disease
Against gonorrhea (7v),disease
Against Go. (16v),disease
Excellent water against the plague of Monsieur de Montorsin (44v),disease
Against the falling sickness (46r),disease
Against cold gouts (46r),disease
Against falling sickness or vertigo (47r),disease
Against diarrhea and dysentery (47r),disease
Curing dogs of mange (48r),disease
Against dogs’ mange (103r),disease
Against dogs’ mange (104v),disease
Against plague (170v),disease
For preserving (170v),disease
For getting rid of the redness of eyes or bruising (11v),cosmetic
For removing fine hair from the forehead (16v),cosmetic
For whitening the face (20v),cosmetic
"For the teeth, oil of sulfur (46r)",cosmetic
Wheat oil (46r),cosmetic
For teeth (47r),cosmetic
Against bruising of the eyes (66v),cosmetic
Against redness of the face (77r),cosmetic
Toadstone (13v),misc
White soporific oil (44v),misc
Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits (55r),misc
Another for waters (55v),misc
Medicine of the orientals against all maladies (77r),misc
Infusion of anthos or rosemary (102v),misc
Earwax (103v),misc
Antidote against the fumes of metals (79v),craftmaking
Working on glass (97v),craftmaking
Toad (109v),craftmaking
