Entry,Recipe type
For purging rheum and phlegm from the head and stomach (1),bodily pain and discomfort
A medicine for a burn or scald (2),bodily pain and discomfort
A medicine for a searcloth (2),bodily pain and discomfort
The white ointment for any itch (2),bodily pain and discomfort
A medicine for a sore breast (3),bodily pain and discomfort
To make the green ointment (3-4),bodily pain and discomfort
A medicine for sore nipples (4),bodily pain and discomfort
Goodwife Lawrencer her salve (5),bodily pain and discomfort
To make Balsamum (5),bodily pain and discomfort
A recipe of water for a sore throat or mouth (6),bodily pain and discomfort
To make oil of St. John’s wort (6),bodily pain and discomfort
To make an ointment for a bruise (7),bodily pain and discomfort
The Wound Water (9),bodily pain and discomfort
To make a water for a sore throat or mouth (15),bodily pain and discomfort
To make a syrup of succory with rhubarb (16),bodily pain and discomfort
To make a pretious drink good for the wind in the stomach (37),bodily pain and discomfort
The manner of distilling a water of honey (38),bodily pain and discomfort
A very good ointment for a tetter or any itching (48),bodily pain and discomfort
To make a Paracelsus plaister (59),bodily pain and discomfort
An excellent recipe for a sore breast (89),bodily pain and discomfort
To cure a canker in the mouth or the mouth any way sore (90),bodily pain and discomfort
For aches Thomas Blother’s searcloth (91),bodily pain and discomfort
A recipe for any bruise an excellent thing (97),bodily pain and discomfort
Mrs. Rebekah Ash her powder for the eyes (96),bodily pain and discomfort
A recipe to cure any inflammation or swelling in the mouth (166b-168),bodily pain and discomfort
To make the powder (169),bodily pain and discomfort
To make the plaister (170),bodily pain and discomfort
To make the ointment (171),bodily pain and discomfort
Mrs. Badge’s Plaister (180),bodily pain and discomfort
"The Head Pills, Mrs. Capel’s recipe (211)",bodily pain and discomfort
Captain William Webber’s recipe for the curing of most pains and aches (99-100),bodily pain and discomfort
A most excellent plaister for all kind of wounds or old sores,bodily pain and discomfort
To cure an ague (1),disease
An excellent medicine for a sore breast with the ague (3),disease
A medicine for the greensickness (8),disease
For the cough (10),disease
To make poppy water (14),disease
An excellent water for consumption (14-15),disease
For a consumption (15),disease
For a consumption (16),disease
To make spleen ale (17),disease
To make a hipocras for consumption (40),disease
To make plague water (41),disease
Doctor Burges his direction against the plague (41),disease
A drink for the rickets (43),disease
An ointment for the rickets (44),disease
An excellent approved plaister for the spleen (46),disease
A recipe for consumption (48),disease
Doctor Butler’s recipe against a consumption (49),disease
A medicine for one that is in a desperate fit of the stone (60),disease
To cure a quartan or double ague (92),disease
A recipe for a cough (163),disease
To cure a flux invariably (164),disease
To cure deafness (164),disease
The plague water (184),disease
Palsy water (193),disease
To make a snail water for a consumption (194),disease
"For worms in man, woman, or child (203)",disease
A drink for the rickets (205),disease
Ointment for the rickets (205),disease
A recipe for the dropsie (238),disease
Lady Katharine Windham’s recipe Powder for the convulsion fits (239),disease
Captain Felpes...his recipe…for stone experienced upon himself (122),disease
To make a water for a Squinancy (11),disease
To take out the holes of the smallpox (15),cosmetic
A recipe to take away the red spots out of the face after the smallpox are gone (47),cosmetic
Another recipe (for removing marks from smallpox) (47),cosmetic
An ointment to take the spots out of the face after the smallpox (48),cosmetic
To cleanse teeth well (88),cosmetic
A water to cure pimples in the face (17),cosmetic
To make one sleep (1),misc
To make Doctor Chambers his water (10-11),misc
To make an admirable good water against melancholy (12),misc
An approved medicine for the hiccups (59),misc
To cause sleep in fevers or any other distempers (90),misc
Walnut water or the water of life,misc
A powder to be given to a woman in labor (158),reproduction
For a woman as soon as brought to bed (305),reproduction
