div_id,categories,heading_tl
p056v_1,painting;varnish,Painter
p057v_1,arms and armor,Sheath maker
p057v_2,painting,Painter
p073r_1,wood and its coloring,For making blue varnish
p073r_2,wood and its coloring,For orange color
p073r_3,wood and its coloring,For ridding bone or horn of grease
p073r_4,wood and its coloring,For making gray wood
p073r_5,metal process,For making bronze in gold color
p073v_1,metal process,For coating it
p073v_2,varnish,Varnish
p073v_3,varnish,Another recipe for making varnish
p073v_4,metal process,Color of burnished copper
p074r_1,metal process;wood and its coloring,For bronzing white
p074r_2,painting;metal process,For making vermilion
p074r_3,varnish,For making varnish
p074v_1,varnish,For making red varnish
p074v_2,varnish,For making yellow varnish
p074v_3,wax process;wood and its coloring,Recipe for white gum
p074v_4,wax process;wood and its coloring,Green gum
p075r_1,wax process;wood and its coloring,Red gum
p075r_2,wood and its coloring,Bronze of copper
p075r_3,wood and its coloring,Bronze like tin
p075r_4,corrosives,For making aquafortis
p075r_5,painting;metal process,Or moulu
p075v_1,wood and its coloring,For making gray wood
p075v_2,wood and its coloring,For gilding on wood
p075v_3,metal process;wood and its coloring,For gilding with or moleu
p075v_4,wood and its coloring,Recipe for putting all woods in color
p076r_1,wood and its coloring,For making wood green
p076r_2,wood and its coloring,For making wood red
p076r_3,wood and its coloring,For making it blue
p076r_4,wood and its coloring,For making it violet 
p076r_5,wood and its coloring,For making it yellow
p076v_1,metal process;wood and its coloring,For making very beautiful color of gold & of little expense
p076v_2,wood and its coloring,For making black goumiche
p076v_3,wood and its coloring,For the white 
p076v_4,metal process,For gilding on iron or tin
p077r_4,varnish,Recipe for making bronze and varnish of many sorts
p077v_1,varnish,Another approved varnish
p077v_2,varnish,Another varnish
p077v_3,varnish,Another varnish
p078r_1,varnish,Another varnish
p078r_2,varnish,For making red varnish
p078r_3,wood and its coloring,For making wood green
p078v_1,metal process;wood and its coloring,For making bronze in the color of steel
p078v_2,varnish,For making bronze in the color of gold
p078v_3,wood and its coloring,For making bone or horn green
p078v_4,metal process;wood and its coloring,For making bronze
p079r_1,wood and its coloring,For making wood gray
p079r_2,medicine,For making water for disease of the eyes
p079r_3,metal process;wood and its coloring,For making bronze in the color of gold
p079v_1,varnish,For making varnish
