File,Link
./docs/azurite-assignment.md,azurite_assignment_downloadable_2022.pdf
./docs/azurite-assignment.md,../images/azurite-shells.jpg?raw=true
./docs/azurite-assignment.md,fa22_skillbuilding-azurite-presentation-full.pdf
./docs/azurite-assignment.md,fa22_skillbuilding-azurite-presentation-short.pdf
./docs/azurite-assignment.md,azurite_assignment_handout_2022.pdf
./docs/azurite-assignment.md,./introduction-paints-pigments_njr_2021.pdf
./docs/azurite-assignment.md,painting-assignment.md
./docs/azurite-assignment.md,https://travelingscriptorium.com/2012/03/20/an-online-version-of-the-ink-pigment-sampler-set/
./docs/azurite-assignment.md,fa22_skillbuilding-azurite-presentation-full.pdf
./docs/azurite-assignment.md,https://edition640.makingandknowing.org/
./docs/azurite-assignment.md,https://edition640.makingandknowing.org/#/essays/ann_321_ie_19
./docs/azurite-assignment.md,https://edition640.makingandknowing.org/#/essays/ann_060_fa_17
./docs/azurite-assignment.md,https://edition640.makingandknowing.org/#/essays/ann_038_sp_16
./docs/azurite-assignment.md,https://edition640.makingandknowing.org/#/folios/11r/f/11r/tl
./docs/azurite-assignment.md,fa22_skillbuilding-azurite-presentation-full.pdf
./docs/azurite-assignment.md,su17_rosenkranz_azurite-preparation-cambridge.md
./docs/azurite-assignment.md,https://www.vam.ac.uk/blog/news/experiments-with-azurite-on-the-history-of-design-ma-course
./docs/azurite-assignment.md,https://www.vam.ac.uk/blog/projects/thinking-and-experiencing-techne-making-azurite-part-2
./docs/azurite-assignment.md,painting-assignment.md
./docs/azurite-assignment.md,https://www.makingandknowing.org/
./docs/azurite-assignment.md,https://edition640.makingandknowing.org
./docs/azurite-assignment.md,https://travelingscriptorium.com/
./docs/azurite-assignment.md,https://travelingscriptorium.com/2012/03/20/an-online-version-of-the-ink-pigment-sampler-set/
./docs/azurite-assignment.md,http://cameo.mfa.org/images/e/ea/Download_file_506.pdf
./docs/azurite-assignment.md,https://www.webexhibits.org/pigments/intro/blues.html
./docs/azurite-assignment.md,http://old.artiscreation.com/blue.html#azurite
./docs/breadmolding-assignment.md,breadmolding_assignment_downloadable_2021.pdf
./docs/breadmolding-assignment.md,https://edition640.makingandknowing.org/#/folios/140v/f/140v/tl
./docs/breadmolding-assignment.md,https://edition640.makingandknowing.org/#/
./docs/breadmolding-assignment.md,../images/140v-breadmolding.jpg?raw=true
./docs/breadmolding-assignment.md,https://edition640.makingandknowing.org/#/folios/140v/f/140v/tl
./docs/breadmolding-assignment.md,breadmolding_evelyn-john_bread-recipes.pdf
./docs/breadmolding-assignment.md,http://www.foodtimeline.org/foodbreads.html#breadhistory
./docs/breadmolding-assignment.md,https://earlybread.wordpress.com/
./docs/breadmolding-assignment.md,http://recipes.hypotheses.org/
./docs/breadmolding-assignment.md,http://wellcomelibrary.org/
./docs/breadmolding-assignment.md,https://www.staff.uni-giessen.de/gloning/kobu.htm
./docs/breadmolding-assignment.md,http://www.kookhistorie.nl/index.htm
./docs/breadmolding-assignment.md,https://edition640.makingandknowing.org/
./docs/breadmolding-assignment.md,http://edition640.makingandknowing.org/#/essays/ann_046_fa_16
./docs/breadmolding-assignment.md,http://edition640.makingandknowing.org/#/essays/ann_050_fa_16
./docs/breadmolding-assignment.md,http://edition640.makingandknowing.org/#/essays/ann_007_fa_14
